model,variant,macro_f1_mean,ci_95_lower,ci_95_upper
bert_hatexplain,clean,0.6656,0.6357,0.6952
bert_hatexplain,typos,0.5899,0.5576,0.6211
bert_hatexplain,paraphrase,0.6434,0.6143,0.6728
bert_hatexplain,word_order,0.6649,0.6346,0.6945
bert_hatexplain,combined,0.5859,0.556,0.6163
bert_hatexplain,register_shift,0.6668,0.6363,0.6958
bert_hatexplain,code_mixed,0.6592,0.6282,0.6896
bert_hatexplain,demo_swap,0.6625,0.633,0.6908
twitter_roberta,clean,0.312,0.2895,0.334
twitter_roberta,typos,0.2988,0.2757,0.3217
twitter_roberta,paraphrase,0.2969,0.2741,0.32
twitter_roberta,word_order,0.3103,0.2881,0.3326
twitter_roberta,combined,0.303,0.2787,0.326
twitter_roberta,register_shift,0.3102,0.2881,0.3326
twitter_roberta,code_mixed,0.3123,0.29,0.3347
twitter_roberta,demo_swap,0.3121,0.29,0.3334
dynabench_roberta,clean,0.4039,0.3832,0.4259
dynabench_roberta,typos,0.3583,0.3344,0.3831
dynabench_roberta,paraphrase,0.3768,0.354,0.3988
dynabench_roberta,word_order,0.4032,0.3823,0.4248
dynabench_roberta,combined,0.3619,0.3395,0.3852
dynabench_roberta,register_shift,0.4037,0.3823,0.4261
dynabench_roberta,code_mixed,0.394,0.3729,0.4175
dynabench_roberta,demo_swap,0.391,0.3692,0.4146
