model,variant,type,count
bert_hatexplain,code_mixed,degradation,13
bert_hatexplain,combined,degradation,132
bert_hatexplain,combined,silent_confidence_shift,18
bert_hatexplain,demo_swap,degradation,14
bert_hatexplain,paraphrase,degradation,55
bert_hatexplain,paraphrase,silent_confidence_shift,7
bert_hatexplain,register_shift,degradation,1
bert_hatexplain,typos,degradation,109
bert_hatexplain,typos,silent_confidence_shift,12
bert_hatexplain,word_order,degradation,10
dynabench_roberta,code_mixed,degradation,16
dynabench_roberta,code_mixed,silent_confidence_shift,6
dynabench_roberta,combined,degradation,73
dynabench_roberta,combined,silent_confidence_shift,53
dynabench_roberta,demo_swap,degradation,17
dynabench_roberta,demo_swap,silent_confidence_shift,10
dynabench_roberta,paraphrase,degradation,50
dynabench_roberta,paraphrase,silent_confidence_shift,28
dynabench_roberta,register_shift,degradation,1
dynabench_roberta,typos,degradation,74
dynabench_roberta,typos,silent_confidence_shift,34
dynabench_roberta,word_order,degradation,10
dynabench_roberta,word_order,silent_confidence_shift,3
twitter_roberta,code_mixed,degradation,5
twitter_roberta,code_mixed,silent_confidence_shift,11
twitter_roberta,combined,degradation,74
twitter_roberta,combined,silent_confidence_shift,35
twitter_roberta,demo_swap,degradation,3
twitter_roberta,demo_swap,silent_confidence_shift,8
twitter_roberta,paraphrase,degradation,41
twitter_roberta,paraphrase,silent_confidence_shift,25
twitter_roberta,register_shift,degradation,3
twitter_roberta,register_shift,silent_confidence_shift,1
twitter_roberta,typos,degradation,68
twitter_roberta,typos,silent_confidence_shift,49
twitter_roberta,word_order,degradation,13
twitter_roberta,word_order,silent_confidence_shift,10
