model,variant,gold_label,degraded,total,rate
bert_hatexplain,typos,hate_speech,54,300,0.18
bert_hatexplain,typos,offensive,43,300,0.1433
bert_hatexplain,typos,normal,12,300,0.04
bert_hatexplain,paraphrase,hate_speech,24,300,0.08
bert_hatexplain,paraphrase,offensive,16,300,0.0533
bert_hatexplain,paraphrase,normal,15,300,0.05
bert_hatexplain,word_order,hate_speech,1,300,0.0033
bert_hatexplain,word_order,offensive,5,300,0.0167
bert_hatexplain,word_order,normal,4,300,0.0133
bert_hatexplain,combined,hate_speech,55,300,0.1833
bert_hatexplain,combined,offensive,61,300,0.2033
bert_hatexplain,combined,normal,16,300,0.0533
bert_hatexplain,register_shift,hate_speech,0,300,0.0
bert_hatexplain,register_shift,offensive,0,300,0.0
bert_hatexplain,register_shift,normal,1,300,0.0033
bert_hatexplain,code_mixed,hate_speech,0,300,0.0
bert_hatexplain,code_mixed,offensive,10,300,0.0333
bert_hatexplain,code_mixed,normal,3,300,0.01
bert_hatexplain,demo_swap,hate_speech,2,300,0.0067
bert_hatexplain,demo_swap,offensive,7,300,0.0233
bert_hatexplain,demo_swap,normal,5,300,0.0167
twitter_roberta,typos,hate_speech,39,300,0.13
twitter_roberta,typos,offensive,29,300,0.0967
twitter_roberta,typos,normal,0,300,0.0
twitter_roberta,paraphrase,hate_speech,29,300,0.0967
twitter_roberta,paraphrase,offensive,12,300,0.04
twitter_roberta,paraphrase,normal,0,300,0.0
twitter_roberta,word_order,hate_speech,9,300,0.03
twitter_roberta,word_order,offensive,4,300,0.0133
twitter_roberta,word_order,normal,0,300,0.0
twitter_roberta,combined,hate_speech,45,300,0.15
twitter_roberta,combined,offensive,29,300,0.0967
twitter_roberta,combined,normal,0,300,0.0
twitter_roberta,register_shift,hate_speech,2,300,0.0067
twitter_roberta,register_shift,offensive,1,300,0.0033
twitter_roberta,register_shift,normal,0,300,0.0
twitter_roberta,code_mixed,hate_speech,2,300,0.0067
twitter_roberta,code_mixed,offensive,3,300,0.01
twitter_roberta,code_mixed,normal,0,300,0.0
twitter_roberta,demo_swap,hate_speech,2,300,0.0067
twitter_roberta,demo_swap,offensive,1,300,0.0033
twitter_roberta,demo_swap,normal,0,300,0.0
dynabench_roberta,typos,hate_speech,14,300,0.0467
dynabench_roberta,typos,offensive,0,300,0.0
dynabench_roberta,typos,normal,60,300,0.2
dynabench_roberta,paraphrase,hate_speech,16,300,0.0533
dynabench_roberta,paraphrase,offensive,0,300,0.0
dynabench_roberta,paraphrase,normal,34,300,0.1133
dynabench_roberta,word_order,hate_speech,2,300,0.0067
dynabench_roberta,word_order,offensive,0,300,0.0
dynabench_roberta,word_order,normal,8,300,0.0267
dynabench_roberta,combined,hate_speech,16,300,0.0533
dynabench_roberta,combined,offensive,0,300,0.0
dynabench_roberta,combined,normal,57,300,0.19
dynabench_roberta,register_shift,hate_speech,0,300,0.0
dynabench_roberta,register_shift,offensive,0,300,0.0
dynabench_roberta,register_shift,normal,1,300,0.0033
dynabench_roberta,code_mixed,hate_speech,2,300,0.0067
dynabench_roberta,code_mixed,offensive,0,300,0.0
dynabench_roberta,code_mixed,normal,14,300,0.0467
dynabench_roberta,demo_swap,hate_speech,6,300,0.02
dynabench_roberta,demo_swap,offensive,0,300,0.0
dynabench_roberta,demo_swap,normal,11,300,0.0367
