model,variant,b,c,n_discordant,p_value,odds_ratio,significant_alpha_05
bert_hatexplain,typos,109,45,154,0.0,2.422,True
bert_hatexplain,paraphrase,55,36,91,0.05857,1.528,False
bert_hatexplain,word_order,10,9,19,1.0,1.111,False
bert_hatexplain,combined,132,68,200,1e-05,1.941,True
bert_hatexplain,register_shift,1,2,3,1.0,0.5,False
bert_hatexplain,code_mixed,13,9,22,0.52347,1.444,False
bert_hatexplain,demo_swap,14,11,25,0.69004,1.273,False
twitter_roberta,typos,68,55,123,0.2792,1.236,False
twitter_roberta,paraphrase,41,25,66,0.06402,1.64,False
twitter_roberta,word_order,13,11,24,0.83882,1.182,False
twitter_roberta,combined,74,66,140,0.55427,1.121,False
twitter_roberta,register_shift,3,1,4,1.0,3.0,False
twitter_roberta,code_mixed,5,6,11,1.0,0.833,False
twitter_roberta,demo_swap,3,3,6,1.0,1.0,False
dynabench_roberta,typos,74,31,105,3e-05,2.387,True
dynabench_roberta,paraphrase,50,23,73,0.00212,2.174,True
dynabench_roberta,word_order,10,10,20,1.0,1.0,False
dynabench_roberta,combined,73,34,107,0.00021,2.147,True
dynabench_roberta,register_shift,1,1,2,1.0,1.0,False
dynabench_roberta,code_mixed,16,6,22,0.05248,2.667,False
dynabench_roberta,demo_swap,17,3,20,0.00258,5.667,True
